Type of Location,Location Name,X Coord,Y Coord
Grocery Store,Whole Foods Market,-84.3813921,33.8408965
Grocery Store,Walmart Grocery Pickup,-84.3128942,33.7191471
Grocery Store,Municipal Market of Atlanta,-84.3798768,33.7540928
Grocery Store,Whole Foods Market,-84.3657762,33.7751254
Grocery Store,Luckie Street Grocery Store,-84.3964211,33.765129
Grocery Store,14 TH ST GROCERY AND HALAL MEAT,-84.4002453,33.7859519
Grocery Store,Little's Food Store,-84.3678997,33.7492177
Grocery Store,Savi Provisions,-84.3578751,33.7623329
Grocery Store,Intown Market & Deli,-84.376891,33.749975
Grocery Store,Trader Joe's,-84.3675836,33.7794269
Grocery Store,Big Bear Foods,-84.4182372,33.7364924
Grocery Store,Green Grocery Store,-84.4250837,33.7638854
Grocery Store,L & M Market,-84.3774255,33.7759954
Grocery Store,Trader Joe's,-84.3675836,33.7794269
Grocery Store,Trader Joe's,-84.3675836,33.7794269
Grocery Store,L and L Grocery,-84.407667,33.7635501
Grocery Store,Sweet Auburn Curb Market,-84.377213,33.7545
Grocery Store,The Fresh Market,-84.391634,33.812159
Grocery Store,The Fresh Market,-84.391634,33.812159
Grocery Store,The Fresh Market,-84.391634,33.812159
Grocery Store,Sevananda Natural Foods Market,-84.348501,33.7670312
Grocery Store,Triple Food Store,-84.3715807,33.753037
Grocery Store,B & K Grocery Store,-84.424499,33.7206999
Grocery Store,Savi Provisions,-84.3578751,33.7623329
Grocery Store,Savi Provisions,-84.3843149,33.7810754
Grocery Store,Whole Foods Market,-84.3797763,33.9177907
Grocery Store,Brito Supermarket,-84.337085,33.8367099
Grocery Store,The Spicy Peach,-84.3126881,33.8164448
Grocery Store,Carver Neighborhood Market,-84.385472,33.7189936
Grocery Store,M Street Corner Market,-84.408603,33.7773456
Grocery Store,Kroger Marketplace,-84.3599067,33.7422395
Grocery Store,El Progreso,-84.3683048,33.7143654
Grocery Store,Publix Super Market at Piedmont,-84.3811575,33.7703567
Grocery Store,Stadium Grocery,-84.387635,33.7320162
Grocery Store,Fast Track,-84.3848754,33.7878904
Grocery Store,Winston's Grocery,-84.4053775,33.7320837
Grocery Store,Pyramid Grocery,-84.4020411,33.7324401
Grocery Store,Urban City Market,-84.4125443,33.7817098
Grocery Store,Yaril Grocery,-84.4127044,33.7682945
Grocery Store,Galli Foods,-84.3883383,33.7603672
Grocery Store,ALDI,-84.3502211,33.7137219
Grocery Store,Candler Park Market,-84.333649,33.765099
Grocery Store,Pic N Pay,-84.4333546,33.7633044
Grocery Store,Windsor Super Market,-84.3981538,33.7410706
Grocery Store,West End Food Store,-84.4138994,33.7392452
Grocery Store,Wayfield Foods Inc,-84.5013254,33.6230943
Grocery Store,Grant Park Market,-84.3708416,33.7465702
Grocery Store,Vine City Supermarket,-84.4170773,33.7637581
Grocery Store,Kroger,-84.3362101,33.8042242
Grocery Store,J & J Grocery,-84.4170839,33.768606
Grocery Store,Big Brother Grocery,-84.4230174,33.7225762
Grocery Store,J & C Food Mart,-84.391307,33.7525591
Grocery Store,GNT Foods,-84.4177651,33.6809918
Grocery Store,Floral Park Market,-84.41374,33.794389
Grocery Store,La Canasta,-84.37976,33.9105119
Grocery Store,Everyday Market,-84.3653233,33.7614908
Grocery Store,Southern Supermarket,-84.423124,33.74716
Grocery Store,Fred's Grocery Store,-84.4536132,33.7502857
Grocery Store,Buy Low Super Market,-84.4750602,33.7777246
Grocery Store,K Stop Market,-84.383678,33.75466
Grocery Store,Busy Bee Grocery Store,-84.4761532,33.8118868
Grocery Store,North Ave Foodmart,-84.3711733,33.7709765
Grocery Store,Westview Corner Grocery,-84.4385396,33.7438937
Grocery Store,West End Food Mart,-84.4144303,33.738077
Grocery Store,Bennett's Market & Deli,-84.3678617,33.7390046
Grocery Store,Sprouts Farmers Market,-84.3659703,33.8065737
Grocery Store,Publix Super Market at Ansley Mall,-84.3718066,33.7990623
Grocery Store,Wayfield Food Market,-84.4856162,33.7522668
Grocery Store,Publix Super Market at Ponce,-84.3543848,33.7728592
Grocery Store,Pyramid Market,-84.4022052,33.7323605
Grocery Store,Grocery Store,-84.3798259,33.7097129
Grocery Store,Kroger,-84.348303,33.7224431
Grocery Store,Kroger,-84.4578828,33.8716804
Grocery Store,2205 Lavista Rd NE,-84.3145057,33.8157223
Grocery Store,Kroger,-84.4817129,33.8390314
Grocery Store,Kroger,-84.3833923,33.889787
Grocery Store,Kroger Fresh Fare,-84.3744744,33.8455304
Grocery Store,Whole Foods Market,-84.3813921,33.8408965
Grocery Store,Kroger,-84.4125375,33.8017554
Grocery Store,Kroger,-84.4991112,33.7242794
Grocery Store,Kroger,-84.4091471,33.6828334
School,Benjamin E Mays High School,-84.505152,33.733942
School,The B.E.S.T. Academy 6-12,-84.4795149,33.78872
School,Booker T. Washington High School,-84.4206879,33.7536903
School,Coretta Scott King Young Women's Leadership Academy,-84.4793593,33.788943
School,Daniel McLaughlin Therrell High School,-84.4902643,33.6989457
School,Frederick Douglass High School,-84.4676514,33.7612634
School,Henry W. Grady High School,-84.3714213,33.7805515
School,Maynard Holbrook Jackson High School,-84.3612782,33.7397462
School,Carver High School,-84.3870819,33.7205643
School,North Atlanta High School,-84.442433,33.866401
