route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
7634,MARTA,1,Marietta Blvd/Joseph E Lowery Blvd,,3,,819FF7,
7635,MARTA,2,Ponce de Leon Avenue / Druid Hills,,3,,819FF7,
7636,MARTA,3,Martin Luther King Jr Dr/Auburn Ave,,3,,819FF7,
7637,MARTA,4,Moreland Avenue,,3,,819FF7,
7638,MARTA,5,Piedmont Road / Sandy Springs,,3,,819FF7,
7639,MARTA,6,Clifton Road / Emory,,3,,819FF7,
7640,MARTA,8,North Druid Hills Road,,3,,819FF7,
7641,MARTA,9,Boulevard / Tilson Road,,3,,819FF7,
7642,MARTA,12,Howell Mill Road / Cumberland,,3,,819FF7,
7643,MARTA,14,14th Street / Blandtown,,3,,819FF7,
7644,MARTA,15,Candler Road,,3,,819FF7,
7646,MARTA,19,Clairmont Road,,3,,819FF7,
7647,MARTA,21,Memorial Drive,,3,,819FF7,
7648,MARTA,24,McAfee / Hosea Williams,,3,,819FF7,
7649,MARTA,25,Peachtree Industrial Boulevard,,3,,819FF7,
7650,MARTA,26,Marietta Street / Perry Boulevard,,3,,819FF7,
7651,MARTA,27,Cheshire Bridge Road,,3,,819FF7,
7652,MARTA,30,LaVista Road,,3,,819FF7,
7653,MARTA,32,Bouldercrest,,3,,819FF7,
7655,MARTA,34,2nd Ave/Gresham Rd/Clifton Spgs Rd,,3,,819FF7,
7656,MARTA,36,N Decatur Road / Virginia Highland,,3,,819FF7,
7657,MARTA,37,Defoors Ferry Road,,3,,819FF7,
7658,MARTA,39,Buford Highway,,3,,819FF7,
7738,MARTA,40,Peachtree Street / Downtown,,3,,819FF7,
7659,MARTA,42,Pryor Road,,3,,819FF7,
7660,MARTA,47,I-85 Access Road / Briarwood Road,,3,,819FF7,
7661,MARTA,49,McDonough Boulevard,,3,,819FF7,
7662,MARTA,50,Donald Lee Hollowell Parkway,,3,,819FF7,
7663,MARTA,51,Joseph E Boone Boulevard,,3,,819FF7,
7665,MARTA,55,Jonesboro Road,,3,,819FF7,
7667,MARTA,58,Hollywood Road / Lucile Avenue,,3,,819FF7,
7668,MARTA,60,Hightower Road,,3,,819FF7,
7669,MARTA,66,Lynhurst Drive / Princeton Lakes,,3,,819FF7,
7671,MARTA,68,Benjamin E Mays Drive,,3,,819FF7,
7672,MARTA,71,Cascade  Road,,3,,819FF7,
7673,MARTA,73,Fulton Industrial,,3,,819FF7,
7674,MARTA,74,Flat Shoals Road,,3,,819FF7,
7675,MARTA,75,Lawrenceville Highway,,3,,819FF7,
7676,MARTA,78,Cleveland Ave,,3,,819FF7,
7677,MARTA,79,Sylvan Hills,,3,,819FF7,
7678,MARTA,81,Venetian Hills / Delowe Drive,,3,,819FF7,
7679,MARTA,82,Camp Creek / South Fulton Parkway,,3,,819FF7,
7680,MARTA,83,Campbellton Road,,3,,819FF7,
7681,MARTA,84,Washington Rd/Camp Crk Marketplace,,3,,819FF7,
7682,MARTA,85,Roswell,,3,,819FF7,
7683,MARTA,86,Fairington Road,,3,,819FF7,
7684,MARTA,87,Roswell Road / Sandy Springs,,3,,819FF7,
7685,MARTA,89,Old National Highway,,3,,819FF7,
7686,MARTA,93,Headland Drive / Main Street,,3,,819FF7,
7735,MARTA,94,Northside Drive,,3,,819FF7,
7687,MARTA,95,Metropolitan Parkway,,3,,819FF7,
7689,MARTA,102,North Avenue / Little Five Points,,3,,819FF7,
7690,MARTA,103,Peeler Road / N Shallowford Road,,3,,819FF7,
7691,MARTA,104,Winters Chapel Road,,3,,819FF7,
7692,MARTA,107,Glenwood,,3,,819FF7,
7694,MARTA,110,Peachtree Road / Buckhead,,3,,819FF7,
7695,MARTA,111,Snapfinger Woods,,3,,819FF7,
7696,MARTA,114,Columbia Drive,,3,,819FF7,
7697,MARTA,115,Covington Highway,,3,,819FF7,
7698,MARTA,116,Redan Road,,3,,819FF7,
7699,MARTA,117,Rockbridge Road / Panola Road,,3,,819FF7,
7700,MARTA,119,Hairston Road / Stone Mtn Village,,3,,819FF7,
7701,MARTA,120,East Ponce De Leon Avenue,,3,,819FF7,
7702,MARTA,121,Memorial Drive / N Hairston Road,,3,,819FF7,
